# {
#     "poni_version": 2.1,
#     "detector": "Perkin",
#     "detector_config": {
#         "pixel1": 0.0002,
#         "pixel2": 0.0002,
#         "orientation": 3
#     },
#     "dist": 1.4280177479893559,
#     "poni1": 0.23398429857415295,
#     "poni2": 0.37634908408057827,
#     "rot1": -0.003994332959290178,
#     "rot2": -0.026132616520970278,
#     "rot3": -4.71036871681453e-10,
#     "wavelength": 1.814e-11
# }
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> from_PerkinElmer_detector/LaB6.xy
#       2th_deg             I 
  5.895001e+00    1.722808e+01
  5.905001e+00    1.719973e+01
  5.915001e+00    1.720365e+01
  5.925001e+00    1.721000e+01
  5.935001e+00    1.722315e+01
  5.945001e+00    1.722879e+01
  5.955001e+00    1.724179e+01
  5.965001e+00    1.726749e+01
  5.975001e+00    1.727426e+01
  5.985001e+00    1.722640e+01
  5.995001e+00    1.717812e+01
  6.005001e+00    1.718175e+01
  6.015001e+00    1.721342e+01
  6.025001e+00    1.729842e+01
  6.035001e+00    1.725325e+01
  6.045001e+00    1.722488e+01
  6.055001e+00    1.721712e+01
  6.065001e+00    1.729167e+01
  6.075001e+00    1.733046e+01
  6.085001e+00    1.738596e+01
  6.095001e+00    1.735166e+01
  6.105001e+00    1.737853e+01
  6.115001e+00    1.743461e+01
  6.125001e+00    1.744879e+01
  6.135001e+00    1.742832e+01
  6.145001e+00    1.749179e+01
  6.155001e+00    1.748857e+01
  6.165001e+00    1.747801e+01
  6.175001e+00    1.754510e+01
  6.185001e+00    1.755984e+01
  6.195001e+00    1.759812e+01
  6.205001e+00    1.762003e+01
  6.215001e+00    1.767797e+01
  6.225001e+00    1.775528e+01
  6.235001e+00    1.785573e+01
  6.245001e+00    1.794598e+01
  6.255001e+00    1.807096e+01
  6.265001e+00    1.818019e+01
  6.275001e+00    1.839871e+01
  6.285001e+00    1.862024e+01
  6.295001e+00    1.890128e+01
  6.305001e+00    1.932146e+01
  6.315001e+00    1.995168e+01
  6.325001e+00    2.099393e+01
  6.335001e+00    2.363353e+01
  6.345001e+00    4.347656e+01
  6.355001e+00    2.001888e+02
  6.365001e+00    5.647927e+02
  6.375001e+00    6.863896e+02
  6.385001e+00    3.510483e+02
  6.395001e+00    7.297011e+01
  6.405001e+00    2.634159e+01
  6.415001e+00    2.185642e+01
  6.425001e+00    2.040586e+01
  6.435001e+00    1.953003e+01
  6.445001e+00    1.901181e+01
  6.455001e+00    1.868459e+01
  6.465001e+00    1.845119e+01
  6.475001e+00    1.823924e+01
  6.485001e+00    1.808787e+01
  6.495001e+00    1.793130e+01
  6.505001e+00    1.785976e+01
  6.515001e+00    1.776180e+01
  6.525001e+00    1.767278e+01
  6.535001e+00    1.768478e+01
  6.545001e+00    1.763110e+01
  6.555001e+00    1.759902e+01
  6.565001e+00    1.762200e+01
  6.575001e+00    1.760770e+01
  6.585001e+00    1.763686e+01
  6.595001e+00    1.773556e+01
  6.605001e+00    1.788807e+01
  6.615001e+00    1.813571e+01
  6.625001e+00    1.991441e+01
  6.635001e+00    3.662150e+01
  6.645001e+00    9.523758e+01
  6.655001e+00    1.442531e+02
  6.665001e+00    1.089946e+02
  6.675001e+00    4.169203e+01
  6.685001e+00    2.018743e+01
  6.695001e+00    1.808288e+01
  6.705001e+00    1.769011e+01
  6.715001e+00    1.745949e+01
  6.725001e+00    1.733583e+01
  6.735001e+00    1.725074e+01
  6.745001e+00    1.713271e+01
  6.755001e+00    1.705328e+01
  6.765001e+00    1.704823e+01
  6.775001e+00    1.702173e+01
  6.785001e+00    1.699034e+01
  6.795001e+00    1.697572e+01
  6.805001e+00    1.695851e+01
  6.815001e+00    1.692908e+01
  6.825001e+00    1.688824e+01
  6.835001e+00    1.686956e+01
  6.845001e+00    1.681799e+01
  6.855001e+00    1.681915e+01
  6.865001e+00    1.681859e+01
  6.875001e+00    1.676267e+01
  6.885001e+00    1.679276e+01
  6.895001e+00    1.676945e+01
  6.905001e+00    1.671521e+01
  6.915001e+00    1.671005e+01
  6.925001e+00    1.669795e+01
  6.935001e+00    1.669998e+01
  6.945001e+00    1.673599e+01
  6.955001e+00    1.668056e+01
  6.965001e+00    1.668195e+01
  6.975001e+00    1.665567e+01
  6.985001e+00    1.662834e+01
  6.995001e+00    1.666784e+01
  7.005001e+00    1.658453e+01
  7.015001e+00    1.654853e+01
  7.025001e+00    1.657142e+01
  7.035001e+00    1.654878e+01
  7.045001e+00    1.654034e+01
  7.055001e+00    1.648240e+01
  7.065001e+00    1.655824e+01
  7.075001e+00    1.664675e+01
  7.085001e+00    1.658371e+01
  7.095001e+00    1.656720e+01
  7.105001e+00    1.653703e+01
  7.115001e+00    1.649376e+01
  7.125001e+00    1.648082e+01
  7.135001e+00    1.647108e+01
  7.145001e+00    1.648167e+01
  7.155001e+00    1.645313e+01
  7.165001e+00    1.644863e+01
  7.175001e+00    1.640260e+01
  7.185001e+00    1.644939e+01
  7.195001e+00    1.648629e+01
  7.205001e+00    1.643235e+01
  7.215001e+00    1.639450e+01
  7.225001e+00    1.643096e+01
  7.235001e+00    1.643511e+01
  7.245001e+00    1.640335e+01
  7.255001e+00    1.643517e+01
  7.265001e+00    1.645471e+01
  7.275001e+00    1.642519e+01
  7.285001e+00    1.638547e+01
  7.295001e+00    1.636413e+01
  7.305001e+00    1.643770e+01
  7.315001e+00    1.642501e+01
  7.325001e+00    1.639927e+01
  7.335001e+00    1.624063e+01
  7.345001e+00    1.627794e+01
  7.355001e+00    1.631341e+01
  7.365001e+00    1.631035e+01
  7.375001e+00    1.634797e+01
  7.385001e+00    1.634298e+01
  7.395001e+00    1.635529e+01
  7.405001e+00    1.637872e+01
  7.415001e+00    1.632273e+01
  7.425001e+00    1.634198e+01
  7.435001e+00    1.637083e+01
  7.445001e+00    1.640474e+01
  7.455001e+00    1.639991e+01
  7.465001e+00    1.640409e+01
  7.475001e+00    1.636840e+01
  7.485001e+00    1.641482e+01
  7.495001e+00    1.643066e+01
  7.505001e+00    1.637288e+01
  7.515001e+00    1.636905e+01
  7.525001e+00    1.638291e+01
  7.535001e+00    1.639662e+01
  7.545001e+00    1.646187e+01
  7.555001e+00    1.644193e+01
  7.565001e+00    1.647990e+01
  7.575001e+00    1.651889e+01
  7.585001e+00    1.657443e+01
  7.595001e+00    1.658767e+01
  7.605001e+00    1.663158e+01
  7.615001e+00    1.668826e+01
  7.625001e+00    1.679587e+01
  7.635001e+00    1.700267e+01
  7.645001e+00    1.732802e+01
  7.655001e+00    1.898857e+01
  7.665001e+00    3.496816e+01
  7.675001e+00    8.930688e+01
  7.685001e+00    1.351919e+02
  7.695001e+00    1.157313e+02
  7.705001e+00    5.167734e+01
  7.715001e+00    2.102733e+01
  7.725001e+00    1.747985e+01
  7.735001e+00    1.700788e+01
  7.745001e+00    1.681553e+01
  7.755001e+00    1.665271e+01
  7.765001e+00    1.650156e+01
  7.775001e+00    1.647387e+01
  7.785001e+00    1.646381e+01
  7.795001e+00    1.640904e+01
  7.805001e+00    1.633714e+01
  7.815001e+00    1.639446e+01
  7.825001e+00    1.634496e+01
  7.835001e+00    1.630281e+01
  7.845001e+00    1.626766e+01
  7.855001e+00    1.623722e+01
  7.865001e+00    1.626351e+01
  7.875001e+00    1.627249e+01
  7.885001e+00    1.627134e+01
  7.895001e+00    1.627765e+01
  7.905001e+00    1.629334e+01
  7.915001e+00    1.627782e+01
  7.925001e+00    1.624363e+01
  7.935001e+00    1.626274e+01
  7.945001e+00    1.624609e+01
  7.955001e+00    1.625377e+01
  7.965001e+00    1.626732e+01
  7.975001e+00    1.621898e+01
  7.985001e+00    1.626921e+01
  7.995001e+00    1.624859e+01
  8.005001e+00    1.625321e+01
  8.015001e+00    1.624507e+01
  8.025001e+00    1.626470e+01
  8.035001e+00    1.622081e+01
  8.045001e+00    1.623585e+01
  8.055001e+00    1.623958e+01
  8.065001e+00    1.621778e+01
  8.075001e+00    1.623086e+01
  8.085001e+00    1.624050e+01
  8.095001e+00    1.624578e+01
  8.105001e+00    1.628792e+01
  8.115001e+00    1.626298e+01
  8.125001e+00    1.631442e+01
  8.135001e+00    1.629199e+01
  8.145001e+00    1.637588e+01
  8.155001e+00    1.636505e+01
  8.165001e+00    1.639547e+01
  8.175001e+00    1.639013e+01
  8.185001e+00    1.639237e+01
  8.195001e+00    1.644814e+01
  8.205001e+00    1.650867e+01
  8.215001e+00    1.655695e+01
  8.225001e+00    1.661798e+01
  8.235001e+00    1.667715e+01
  8.245001e+00    1.661977e+01
  8.255001e+00    1.665594e+01
  8.265001e+00    1.678307e+01
  8.275001e+00    1.682725e+01
  8.285001e+00    1.688480e+01
  8.295001e+00    1.699601e+01
  8.305001e+00    1.713993e+01
  8.315001e+00    1.737639e+01
  8.325001e+00    1.771472e+01
  8.335001e+00    1.848200e+01
  8.345001e+00    2.267704e+01
  8.355001e+00    5.749221e+01
  8.365001e+00    1.643702e+02
  8.375001e+00    2.553589e+02
  8.385001e+00    2.346930e+02
  8.395001e+00    1.147106e+02
  8.405001e+00    3.304319e+01
  8.415001e+00    1.972548e+01
  8.425001e+00    1.814804e+01
  8.435001e+00    1.761763e+01
  8.445001e+00    1.733504e+01
  8.455001e+00    1.715705e+01
  8.465001e+00    1.701323e+01
  8.475001e+00    1.687989e+01
  8.485001e+00    1.687794e+01
  8.495001e+00    1.683948e+01
  8.505001e+00    1.678788e+01
  8.515001e+00    1.686401e+01
  8.525001e+00    1.691014e+01
  8.535001e+00    1.702053e+01
  8.545001e+00    1.722488e+01
  8.555001e+00    1.784140e+01
  8.565001e+00    2.229577e+01
  8.575001e+00    5.438633e+01
  8.585001e+00    1.254195e+02
  8.595001e+00    1.670553e+02
  8.605001e+00    1.421998e+02
  8.615001e+00    6.545274e+01
  8.625001e+00    2.359518e+01
  8.635001e+00    1.796990e+01
  8.645001e+00    1.715276e+01
  8.655001e+00    1.687355e+01
  8.665001e+00    1.665428e+01
  8.675001e+00    1.650317e+01
  8.685001e+00    1.640224e+01
  8.695001e+00    1.634271e+01
  8.705001e+00    1.628063e+01
  8.715001e+00    1.621061e+01
  8.725001e+00    1.624325e+01
  8.735001e+00    1.620930e+01
  8.745001e+00    1.615066e+01
  8.755001e+00    1.609996e+01
  8.765001e+00    1.607826e+01
  8.775001e+00    1.607518e+01
  8.785001e+00    1.607246e+01
  8.795001e+00    1.602069e+01
  8.805001e+00    1.594351e+01
  8.815001e+00    1.591588e+01
  8.825001e+00    1.595715e+01
  8.835001e+00    1.591078e+01
  8.845001e+00    1.590774e+01
  8.855001e+00    1.589260e+01
  8.865001e+00    1.587133e+01
  8.875001e+00    1.586438e+01
  8.885001e+00    1.586179e+01
  8.895001e+00    1.582244e+01
  8.905001e+00    1.582119e+01
  8.915001e+00    1.578428e+01
  8.925001e+00    1.576890e+01
  8.935001e+00    1.573512e+01
  8.945001e+00    1.576311e+01
  8.955001e+00    1.580412e+01
  8.965001e+00    1.575454e+01
  8.975001e+00    1.574739e+01
  8.985001e+00    1.572569e+01
  8.995001e+00    1.571822e+01
  9.005001e+00    1.576299e+01
  9.015001e+00    1.577256e+01
  9.025001e+00    1.575866e+01
  9.035001e+00    1.577423e+01
  9.045001e+00    1.577745e+01
  9.055001e+00    1.571069e+01
  9.065001e+00    1.573820e+01
  9.075001e+00    1.570909e+01
  9.085001e+00    1.571658e+01
  9.095001e+00    1.574156e+01
  9.105001e+00    1.576941e+01
  9.115001e+00    1.574846e+01
  9.125001e+00    1.571047e+01
  9.135001e+00    1.571040e+01
  9.145001e+00    1.573508e+01
  9.155001e+00    1.573115e+01
  9.165001e+00    1.574279e+01
  9.175001e+00    1.576650e+01
  9.185001e+00    1.576980e+01
  9.195001e+00    1.578428e+01
  9.205001e+00    1.577424e+01
  9.215001e+00    1.571221e+01
  9.225001e+00    1.574029e+01
  9.235001e+00    1.585066e+01
  9.245001e+00    1.583954e+01
  9.255001e+00    1.579156e+01
  9.265001e+00    1.587339e+01
  9.275001e+00    1.586673e+01
  9.285001e+00    1.594288e+01
  9.295001e+00    1.595737e+01
  9.305001e+00    1.599384e+01
  9.315001e+00    1.610939e+01
  9.325001e+00    1.616986e+01
  9.335001e+00    1.621883e+01
  9.345001e+00    1.636809e+01
  9.355001e+00    1.659909e+01
  9.365001e+00    1.689819e+01
  9.375001e+00    1.768030e+01
  9.385001e+00    2.247559e+01
  9.395001e+00    5.768455e+01
  9.405001e+00    1.436810e+02
  9.415001e+00    2.048301e+02
  9.425001e+00    1.977614e+02
  9.435001e+00    1.168870e+02
  9.445001e+00    3.740536e+01
  9.455001e+00    1.943300e+01
  9.465001e+00    1.735812e+01
  9.475001e+00    1.678211e+01
  9.485001e+00    1.653117e+01
  9.495001e+00    1.631061e+01
  9.505001e+00    1.615210e+01
  9.515001e+00    1.603347e+01
  9.525001e+00    1.596300e+01
  9.535001e+00    1.592663e+01
  9.545001e+00    1.582210e+01
  9.555001e+00    1.577146e+01
  9.565001e+00    1.583311e+01
  9.575001e+00    1.574920e+01
  9.585001e+00    1.574208e+01
  9.595001e+00    1.576211e+01
  9.605001e+00    1.572899e+01
  9.615001e+00    1.566021e+01
  9.625001e+00    1.569628e+01
  9.635001e+00    1.570844e+01
  9.645001e+00    1.572119e+01
  9.655001e+00    1.562667e+01
  9.665001e+00    1.561384e+01
  9.675001e+00    1.562340e+01
  9.685001e+00    1.559488e+01
  9.695001e+00    1.561831e+01
