# Beamline.name: ISS (8-ID) - (08ID) Inner Shell Spectroscopy
# Beamline.x-ray_source: NSLS-II damping wiggler
# Beamline.collimation: ISS dual mirror system
# Beamline.focusing: ISS toroid mirror
# Beamline.harmonic_rejection: undefined
# Detector.I0: 17 cm, He: 62.0%, N2: 38.0%
# Detector.I1: 30 cm, He: 62.0%, N2: 38.0%
# Detector.I2: 17 cm, He: 62.0%, N2: 38.0%
# Detector.IF: PIPS
# Detector.I0_volt: -1700.0
# Detector.I1_volt: -1700.0
# Detector.I2_volt: -1700.0
# Detector.I0_amp_gain: 4
# Detector.I1_amp_gain: 4
# Detector.I2_amp_gain: 5
# Detector.IF_amp_gain: 6
# Detector.aux: 
# Element.symbol: Ni
# Element.edge: K
# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.energy: 3 GeV
# Facility.current: 400.35282595377504
# Facility.cycle: 2022-2
# Mono.name: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.encoder_resolution: 48.0 nrad
# Mono.angle_offset: 
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: 
# Mono.trajectory_name: 
# Mono.direction: 
# Sample.name: Ni foil 0001
# Sample.comment: 
# Sample.stage: ISS.giant_xy stage
# ISS.sample_x_position: -22.8200122375
# ISS.sample_y_position: -48.396793724
# Scan.edge_energy: 8333.0
# Scan.start_time: 06/17/2022  09:37:49
# Scan.end_time: 06/17/2022  09:38:24
# Scan.plot_hint: $5/$1
# Column.1: energy eV
# Column.2: i0
# Column.3: it
# Column.4: ir
# Column.5: if
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8315.400000 -4.486586e-05 -3.521017e-05 -6.076380e-06 -3.920057e-07 1.937106e-05 -4.347300e-05 2.994609e-06 2.172406e-05
 8315.600000 -4.500795e-05 -3.531632e-05 -6.093555e-06 -3.936267e-07 1.907140e-05 -4.428167e-05 4.853977e-06 2.931976e-05
 8315.800000 -4.497793e-05 -3.529746e-05 -6.088717e-06 -3.931654e-07 2.257405e-05 -3.398650e-05 1.292247e-05 2.668497e-05
 8316.000000 -4.485443e-05 -3.520517e-05 -6.072046e-06 -3.920374e-07 1.856386e-05 -4.309527e-05 2.803508e-05 3.807908e-05
 8316.200000 -4.455892e-05 -3.498725e-05 -6.035179e-06 -3.894252e-07 1.844734e-05 -5.008855e-05 1.589011e-05 3.114704e-05
 8316.400000 -4.460484e-05 -3.503457e-05 -6.042202e-06 -3.896424e-07 2.642630e-05 -4.578504e-05 1.238502e-05 2.526864e-05
 8316.600000 -4.456124e-05 -3.500074e-05 -6.036524e-06 -3.894569e-07 3.239474e-05 -4.020907e-05 1.506015e-05 2.233592e-05
 8316.800000 -4.457384e-05 -3.501086e-05 -6.037899e-06 -3.899157e-07 3.225956e-05 -2.783748e-05 1.590660e-05 3.256574e-05
 8317.000000 -4.457959e-05 -3.501633e-05 -6.037046e-06 -3.900074e-07 3.181293e-05 -2.319725e-05 6.069589e-06 3.712010e-05
 8317.200000 -4.459663e-05 -3.503631e-05 -6.038632e-06 -3.900012e-07 2.985730e-05 -3.152002e-05 1.872385e-06 2.561769e-05
 8317.400000 -4.463994e-05 -3.507179e-05 -6.044410e-06 -3.905383e-07 3.204760e-05 -3.095971e-05 9.492915e-07 2.999375e-05
 8317.600000 -4.452249e-05 -3.498036e-05 -6.029633e-06 -3.893403e-07 3.771006e-05 -3.596517e-05 -1.003870e-05 2.700434e-05
 8317.800000 -4.451663e-05 -3.498618e-05 -6.028883e-06 -3.893068e-07 2.933278e-05 -4.269081e-05 -5.772588e-06 3.184125e-05
 8318.000000 -4.477061e-05 -3.516839e-05 -6.060525e-06 -3.915150e-07 2.845745e-05 -3.318366e-05 -1.729638e-05 2.542052e-05
 8318.200000 -4.475126e-05 -3.516095e-05 -6.057887e-06 -3.917759e-07 3.064799e-05 -3.492563e-05 -1.602222e-05 2.814518e-05
 8318.400000 -4.480896e-05 -3.520503e-05 -6.064194e-06 -3.924204e-07 3.296760e-05 -3.865054e-05 -1.422857e-05 3.972162e-05
 8318.600000 -4.488632e-05 -3.526902e-05 -6.074473e-06 -3.927324e-07 3.349770e-05 -4.683931e-05 -1.401976e-05 4.065079e-05
 8318.800000 -4.490244e-05 -3.527799e-05 -6.075348e-06 -3.930201e-07 3.195276e-05 -4.399381e-05 -1.414487e-05 3.111579e-05
 8319.000000 -4.501869e-05 -3.537867e-05 -6.089746e-06 -3.941128e-07 2.575509e-05 -4.552108e-05 -2.054801e-05 2.365612e-05
 8319.200000 -4.508465e-05 -3.542797e-05 -6.096958e-06 -3.948445e-07 2.157294e-05 -3.951533e-05 -1.229210e-05 2.792137e-05
 8319.400000 -4.517131e-05 -3.549340e-05 -6.107073e-06 -3.953997e-07 2.276832e-05 -4.710785e-05 6.579182e-06 2.421437e-05
 8319.600000 -4.520190e-05 -3.551383e-05 -6.111497e-06 -3.957558e-07 3.361385e-05 -4.319015e-05 1.180093e-05 2.513667e-05
