# {
#     "poni_version": 2.1,
#     "detector": "Perkin",
#     "detector_config": {
#         "pixel1": 0.0002,
#         "pixel2": 0.0002,
#         "orientation": 3
#     },
#     "dist": 1.4280177479893559,
#     "poni1": 0.23398429857415295,
#     "poni2": 0.37634908408057827,
#     "rot1": -0.003994332959290178,
#     "rot2": -0.026132616520970278,
#     "rot3": -4.71036871681453e-10,
#     "wavelength": 1.814e-11
# }
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> from_PerkinElmer_detector/LaB6.xy
#       2th_deg             I 
  6.855001e+00    1.682397e+01
  6.865001e+00    1.682096e+01
  6.875001e+00    1.676743e+01
  6.885001e+00    1.679955e+01
  6.895001e+00    1.677561e+01
  6.905001e+00    1.671907e+01
  6.915001e+00    1.671384e+01
  6.925001e+00    1.670416e+01
  6.935001e+00    1.670285e+01
  6.945001e+00    1.674037e+01
  6.955001e+00    1.668759e+01
  6.965001e+00    1.668741e+01
  6.975001e+00    1.665980e+01
  6.985001e+00    1.663083e+01
  6.995001e+00    1.667200e+01
  7.005001e+00    1.658795e+01
  7.015001e+00    1.654943e+01
  7.025001e+00    1.657344e+01
  7.035001e+00    1.655206e+01
  7.045001e+00    1.654854e+01
  7.055001e+00    1.648998e+01
  7.065001e+00    1.655751e+01
  7.075001e+00    1.664236e+01
  7.085001e+00    1.658588e+01
  7.095001e+00    1.657261e+01
  7.105001e+00    1.653968e+01
  7.115001e+00    1.649830e+01
  7.125001e+00    1.648772e+01
  7.135001e+00    1.647245e+01
  7.145001e+00    1.648724e+01
  7.155001e+00    1.645899e+01
  7.165001e+00    1.645098e+01
  7.175001e+00    1.640805e+01
  7.185001e+00    1.645557e+01
  7.195001e+00    1.649038e+01
  7.205001e+00    1.644200e+01
  7.215001e+00    1.640075e+01
  7.225001e+00    1.643775e+01
  7.235001e+00    1.644204e+01
  7.245001e+00    1.641024e+01
  7.255001e+00    1.644226e+01
  7.265001e+00    1.645880e+01
  7.275001e+00    1.642939e+01
  7.285001e+00    1.639098e+01
  7.295001e+00    1.636893e+01
  7.305001e+00    1.644147e+01
  7.315001e+00    1.643070e+01
  7.325001e+00    1.640492e+01
  7.335001e+00    1.624608e+01
  7.345001e+00    1.628316e+01
  7.355001e+00    1.631846e+01
  7.365001e+00    1.631559e+01
  7.375001e+00    1.635513e+01
  7.385001e+00    1.634903e+01
  7.395001e+00    1.634978e+01
  7.405001e+00    1.638160e+01
  7.415001e+00    1.632696e+01
