# Facility: NSLS-II
# Beamline: QAS
# Year: 2019
# Cycle: 1
# Comment: 
# Trajectory name: nickel-8333.txt
# Element: Nickel ( 28)
# Edge: K
# E0: 8333
# Start time: 02/14/2019  14:41:38
# Stop time: 02/14/2019  14:42:16
#
# energy  i0  it  ir  pips  adc7  adc8
 8314.200000 1.978376e+00 8.535126e-01 7.079322e-01 2.000811e+00 1.374951e-04 2.928290e-05
 8314.400000 1.975901e+00 8.525686e-01 7.067497e-01 2.019145e+00 9.371802e-05 3.061334e-06
 8314.600000 1.985939e+00 8.569033e-01 7.104082e-01 2.025257e+00 1.001100e-04 -2.460587e-05
 8314.800000 1.983636e+00 8.558758e-01 7.091020e-01 2.023374e+00 1.869287e-04 3.845399e-06
 8315.000000 1.968991e+00 8.500124e-01 7.054010e-01 2.029666e+00 1.612972e-04 3.557009e-06
 8315.200000 1.971920e+00 8.511990e-01 7.063031e-01 2.014807e+00 1.057997e-04 -8.383132e-06
 8315.400000 1.976163e+00 8.529010e-01 7.075360e-01 2.026878e+00 1.167752e-04 5.734412e-06
 8315.600000 1.981591e+00 8.554069e-01 7.087792e-01 2.016397e+00 1.731542e-04 1.873650e-05
 8315.800000 1.966696e+00 8.492635e-01 7.049138e-01 1.990957e+00 9.850265e-05 -1.198146e-05
 8316.000000 1.972587e+00 8.519640e-01 7.065380e-01 1.996277e+00 1.075890e-04 -2.941646e-05
 8316.200000 1.976366e+00 8.535770e-01 7.078052e-01 2.036461e+00 1.369510e-04 -3.339252e-05
 8316.400000 1.976305e+00 8.534209e-01 7.075259e-01 2.002095e+00 1.535359e-04 4.950216e-06
 8316.600000 1.977610e+00 8.540388e-01 7.080911e-01 2.000701e+00 1.675987e-04 6.932857e-06
 8316.800000 1.974532e+00 8.530362e-01 7.072877e-01 2.024829e+00 1.168191e-04 1.300072e-05
 8317.000000 1.980346e+00 8.552744e-01 7.079891e-01 2.017942e+00 1.136092e-04 2.112688e-05
 8317.200000 1.977895e+00 8.543056e-01 7.076854e-01 2.014999e+00 1.669940e-04 2.212587e-05
 8317.400000 1.980264e+00 8.553008e-01 7.087278e-01 2.008418e+00 1.481482e-04 -2.668345e-06
 8317.600000 1.967330e+00 8.501679e-01 7.044244e-01 2.000206e+00 1.858800e-04 1.943974e-05
 8317.800000 1.972393e+00 8.525176e-01 7.063423e-01 2.010071e+00 1.498188e-04 8.250432e-06
 8318.000000 1.976116e+00 8.539263e-01 7.078255e-01 2.021969e+00 1.606901e-04 2.153445e-05
 8318.200000 1.976961e+00 8.542453e-01 7.081577e-01 2.011315e+00 1.992039e-04 5.563897e-06
 8318.400000 1.970388e+00 8.518459e-01 7.053866e-01 1.971137e+00 1.236840e-04 -4.402238e-06
 8318.600000 1.965984e+00 8.498423e-01 7.048829e-01 2.013441e+00 1.779031e-04 1.458318e-05
 8318.800000 1.973287e+00 8.528530e-01 7.067911e-01 2.027663e+00 1.480074e-04 4.663717e-06
 8319.000000 1.976620e+00 8.542718e-01 7.076812e-01 2.031390e+00 1.208175e-04 -1.823568e-05
 8319.200000 1.967414e+00 8.505279e-01 7.042275e-01 1.992048e+00 1.773631e-04 2.658152e-05
 8319.400000 1.962003e+00 8.485542e-01 7.033368e-01 1.985475e+00 2.068157e-04 2.911238e-05
 8319.600000 1.972505e+00 8.533122e-01 7.063920e-01 2.020284e+00 1.844083e-04 3.791736e-05
 8319.800000 1.956293e+00 8.460770e-01 7.007501e-01 1.993383e+00 8.483648e-05 -2.607509e-05
 8320.000000 1.971463e+00 8.526890e-01 7.059964e-01 2.008915e+00 1.460340e-04 2.771931e-05
 8320.200000 1.978943e+00 8.556590e-01 7.081318e-01 2.016669e+00 1.552682e-04 8.073268e-07
